Overall Rating,Comment,FeedbackCategory,Subcategory
3,This survey keeps popping up on my computer screen after I have filled it out. This is my 6th time filling it out to see if stops,,
5,"I stumbled over my password for the account and have often wondered, when we are finished with these types of accounts how do we go about deleting ourselves from the site?",,
3,Site difficult to navigate,,
4,Switching from teacher to parent was not easy. Kept asking me questions when I just anted to do a simple task.,,
3,I NEED MORE SPECIFIC INFORMATION ABOUT HTE RIGHT BOOKS FOR MY SECOND GRADER.,,
1,Your site certainly is not user friendly. Simplify by eliminating 75% of the steps one has to order.  I'm pretty damn computer efficient......yours is one of the more difficult to order goods on,,
1,"I was trying to look up Beth Ferry and some other authors from our book fair but nowhere to be found.  And even in the book fair the books are lacking.  Where are the popular books, the most upcoming, the best of the best authors.  STOP THE DIVERSITY thing. If the book is not good it should not matter.  What about bringing back some of the old classic authors as well.",,
1,I usually get emails when my students place an order on my account and I just had a parent asking me where her order was. I had FIVE orders waiting to be placed that had been sitting there for A WHOLE MONTH that I knew nothing about. This is not okay...,,
1,This website is clunky and very hard to use.,,
4,"My child's school has a Book Fair coming up, I would like to be able to see some of these online options at the fair, however it seems terribly random and usually the Scholastic flyers sent home have limited options.",,
4,"I know this is going to sound super ""boomer"" of me, but it makes me SO SAD that this is a website now and not a book fair with those old metal book cases and all the new books and little trinkets and pencils. I remember getting $10 from my parents every year when the book fair came in and spending every second I could looking at every book and making my choices so carefully and spending every penny I had there. Please bring them back!!",,
1,"I placed a first order of the school year and a student's order as well as a teacher order was delivered incomplete. The representative I had a live chat ""did not know what happened"" and re sent with 7-10 days wait again. This is concerning and may not incline families to place future orders with scholastic book club. Compensation for the student should be considered.",,
3,I am just guessing that shipping to home is no longer an option.,,
5,Love to see the internet option! It's great for procrastinator kids (like father like son!) and being able to get a paperless payment option.,,
5,"I have loved the Scholastic Book Fair since I was a kid and am very happy you have included a donation option for kids in need.  Please continue to provide this program for kids, learning and reading are a right every child should have.  Thank you!",,
5,The ease of the website was very enjoyable. I was able to use the code provided by my child's teacher to look up exactly what I we wanted to purchase!,,
3,"I am not finding appropriate books for a 6th grader on this site. I was looking for the order sheets that might have 5-6 grade books to order.,not 6-8",,
5,Very easy to navigate site.  Loaded info quickly.,,
4,The book we planned to order for us was out of stock.,,
3,could not sign in,,
5,Love the Scholastic site. Easy to find books and know which ones are age/grade appropriate for my child.,,
5,I love your site...It is super easy to use and I always find what I need!,,
2,The site is not user friendly.,,
5,I need to start receiving 65 flyers and while ive updated that information in my profile I dont see where to request it immediately so I can send the October flyer home,,
4,I could not find my younger kid's teacher in the list,,
3,signing in 2X,,
3,Super easy to navigate,,
2,There's a ton of steps to get to things.,,
5,"There needs to be a greater selection of less expensive books available for families and students to choose from in my opinion.  Just  one $2 choice is not enough. The dollar amount to open the ""teacher discount store is too high as well. The class order goal of  $75 is a tough number to get to every month. Thank you for your consideration.",,
1,The parent letter would not download- an error message was popping up.,,
5,I couldn't find the books i was looking for.,,
4,"I had some trouble editing my children my daughter was in my account from preschool and I needed to add my son who just started preschool. For some reason my daughter was listed as being in First Grade and it just wasn't real easy to get them both changed. Additionally, I needed to update my credit card info. I feel like it would be neat if at the start of a new school year the system automatically asked you to update and made it easier to set things up for the new year.",,
5,Great books and service delivery.,,
3,"Website is easy, but a little disappointed in the book choices. It's the same books over and over again. I need some new titles for my classroom library,",,
3,I think it would be really beneficial to have Book Sale events that cater for the parents only.  Think parents night out - host at schools or hotels.  I think it would be a blast!,,
3,easy to manage.,,
1,"I already placed my order weeks ago, and for whatever reason, it didn't submit.",,
3,cant figure out how to look at the ewallet that i created for my daughter. its so frustrating,,
1,I had 25$ worth of  books and the code would not work.  It said expired but it was not expired because it was advertised right on the banner of the page as the code to use.   Just disappointing.,,
3,"I find the site very confusing and I wonder how many parents would have liked to order with a class code, but didn't spend the amount of time that I did figuring it out.   I didn't know what a ""book club"" was or how to shop as a parent - these buttons were not obvious from the site home page.   I searched scholastic and went to the website, and expected that i could shop from that page and find an obvious place to enter the class code.",,
3,After checkout was the first time I saw an offer for a free book with purchase of $25+. I spent more than double that.,,
5,EXCELLENT EXPERIENCE,,
3,I was attempting to use the $10 credit and was unable. I'll try again tomorrow when I'm fresher!,,
4,I wish there were more books at the $1-$3 range. I teach at a Title one school and most of our population can't afford books at the normal price range.,,
2,"I came to the site, but it was the regular site not the book club. After I shopped for books, filled my cart, and was ready to check out, I realized that I could not connect to the classroom. I googled it, and only then did I realize I was on the wrong site. When I came to the book club site, most of the books I had found and wanted to buy were not available. I had to start over. I am spending about 1/3 today of what I planned on because the books I want to get are not available through the book club site (only through regular scholastic site). I am frustrated and disappointed.",,
5,I started my order but did not finish it due to time constraints. I appreciate the ability to save an order to finish it later.,,
5,It was easy to create an account and place order,,
3,It was really hard to put books into the cart from the flyer.,,
3,Missing an item in my order,,
4,"I entered a promo code and chose a free item, but then I was not able to scroll down to the confirm and pay button (on an iPad). After trying unsuccessfully to scroll down, I found that if I rotated the screen to vertical, just the top corner of the confirm and pay button showed, but luckily it was enough to make it work.",,
4,It's confusing that I am being told I get free books but there is no button to click to place that order UNTIL  I go to my final cart/place order. It would be nice if there was a quick message that teachers can place their free order at the end. :),,
3,"The website was great. Easy, efficient.",,
3,"I love getting students books, but it is frustrating that the price went from $1 to $1.50 and now it looks like the cheapest each month in the flyer is $2.    Is there no longer a $1 or $1.50 option besides the book of the week?  Is there a cheaper option in the flyer?",,
3,The code for checkout did not work and let me know it expired.,,
4,It was difficult to find out if my whole order helped to the teacher/classroom or not.,,
2,I don't like that teacher are being charged for orders that are less than $25. I am confused and disappointed that I wasn't able to purchase nonfiction books using my points and gift card. I never understand how to get the deals .,,
4,"needed to ""connect child"" before adding class order - should default to a child in your profile :)",,
4,Last year we were able to ship to our home but this year it is going to the school. Just want to confirm with the teacher if the books will be sent home,,
2,"I don't have long blocks of time. I need to be able to browse, add to cart, come back to it later to keep shopping. But the site makes me start over every time and re-enter teacher's code for every book. It's just cumbersome and unforgiving. Thanks for asking. But each book page is informative.",,
4,Worked with a tech team member regarding bonus point codes missing from my emails.,,
5,"This was super easy and I'm thrilled to be able to help other children, including my son, enjoy the scholastic books that made me so happy when I was a boy.",,
4,It would be great if $1 or $2 book were brought back in each flyer.,,
4,One of the books is low in stock so I could not order it. Very disappointing.,,
2,"I am missing part of my order. I double checked that all the books where on the right names for the kids, but they don't match.",,
5,One of the digital flyers didn't load for viewing.,,
3,"its difficult to just search everything under $5...i dont want to search every flyer, and every grade.. an overall quick search would be really helpful",,
5,I entered the live chat to ask a question. My question was answered very quickly.,,
4,I would like to add books to my cart without having to open the book's page open.,,
2,how do you search what school,,
5,"It is very cool to participate, I remember this when I was a kid now I have a chance to do it for now not only for my kiddo but for his classroom (:",,
5,I was searching for books by Gary Soto. I was so disappointed to have no results.,,
5,"Timed me out, I waited too long.",,
4,Fingers crossed that books are shipped in a timely manner unlike last school year!,,
3,It is NOT easy to use bonus point to purchase books.,,
4,Finding the e-card balance,,
3,"Prices too high.  I have let my classroom parents know I will no longer be sending home flyers, as they can find higher quality books for equal or lower prices via amazon.  Disappointed, as I have always loved sending scholastic book orders home.",,
4,none,,
4,NA,,
2,"Trying to find books appropriate for my son who is in the fifth  grade and  I do  not know what the different ""Reading levels"" are...no idea what books are appropriate.",,
5,Sometimes it lags that could be due to my computer. Everything is very easy to find.,,
4,"It wasn't easy to find all the books that were on the flyer that was sent home. I looked under ""Firefly"" but had to do a  search to find a few of them.",,
3,"All of my information is gone....my order history, my class code, everything.",,
5,Love the free points!!,,
5,With the handouts we received it was easy to plug in the codes and order,,
5,"A book ordered for free that a parent selected, says it's not available now. I am hoping that you send another book in it's place for the parent.",,
4,I wish the online orders from the parents would automatically ship.  Work comes and goes at a fast pace that I forget at times to check and parents are waiting for their order.,,
3,need better tech prizes for book club,,
2,The layout is so confusing. Also confusing to have to re log in so often.,,
1,"The site did not appear to save the books to my shopping cart across devices. I also could not find the wish list. The menu also appear different. Moving items from the wish list to the shopping cart is very clunky. I do like scholastic books. However, the Internet experience needs to be modernized. The paper experience is still just fine.",,
4,site kept buffering  and did not record my update.  I had to log out and return.,,
5,At first I was a little confused on which website to go to. Once I figured that out and guessed where I was suppose to go (teacher). Then everything went very smoothly. Will be ordering more books later good prices. Thank You,,
5,easy site to use,,
4,Can I give bonus points away if I am retiring or no longer a reading teacher,,
1,"I just placed my second class order for this school year.  First order for Aug/Sep  was placed on 9/1 and I submitted my Oct order today.  I was told I cannot have the $10 in free books because I didn't wait until 10/1 to place the order.  I asked if the order could be put back in my cart, so that I could wait until Oct. 1 as the books were to be delivered to my classroom.  I was told,' no' (Debbie) because they were online orders.  I'm not sure why it matters to Scholastic whether I ordered four days too early to get a bonus.  I still bought from the October Flyers.   When I put in the chat that I now understand why my partner teachers no longer order scholastic books citing they said, it's too much trouble,  she responded with 'Have a nice day',  followed by four exclamation marks and  ended the chat.  I've been buying books from you for over 20 years and have never had this happen.  Very disappointed and am not sure I'm going to offer this any more.  Donna Laemmle, St. Margaret Mary",,
5,I appreciate how easy it is to navigate your website. Your customer service representatives are also very friendly and professional to work with.,,
4,Would like to be able to see a summary or narrative of the books. Specifically the ones that are grouped as part of a pack. The ones that are sold in packs just displays a page or two of the book content but does not indicate what the book is about.,,
5,starting my order today - will complete at a later time!,,
5,It would be nice if there for more low cost books for kids.,,
5,When I received my class order there wasn't a receipt so I had to log on to find out who got what book.,,
5,"free book pop up didn't have a scroll bar i used the down arrows on my keyboard.  didn't trip me up too much, could have been confusing for some",,
5,More information on the books would be helpful I had trouble telling appropriate age or reading level .,,
4,"When I searched a specific item code, several items would come up, and sometimes the one I was looking for wasn't even on the list. I had to find them searching for keywords, or i wasn't able to find them at all.",,
4,Wish there was a better system for picking the free book with READS but it still worked,,
5,It is hard to find the e-wallet set up. I had to trial and error search for it,,
3,Site is difficult to find which place you are to order from.,,
4,I was able to get all that I wanted but the site was not super user friendly for quickly finding what I was looking for.,,
5,I wish the option to ship to my home was still available and due dates for the orders were sooner so the Halloween books I ordered today would be here before Halloween.,,
2,I don't like the book options. I don't buy silly books for my kids. I looked up I can read books but didn't find many to choose from or one we didn't already have. The variety of  books is lacking.,,
3,I had to ask how to find where to put the code for my son's teacher and get the correct link for it but no big deal,,
5,The only thing I would like to see is a couple more pages and a little better description for each book.,,
3,I wanted to order without connecting to a teacher.  I wanted to join the book club and order for my neices.,,
5,Navigating the site was very easy.,,
5,I could not find where to pick my $10 worth of free books.,,
5,My computer died but I remember receiving a Green Apple teacher reward with my September order.  Could not search for the since no computer. Live Chat rep was able to find the code for me to use  in a very timely matter,,
3,"After signing in, I wanted to connect to my child's new teacher and couldn't figure out how to add code.",,
4,Could not access teacher rewards,,
5,The site is very easy to use.,,
2,"After over 40 years in education using Scholastic Book orders,  I was told that the bonus items were not available to me because my August order overlapped into September.  It's not about the money, but I am appalled.  Considering how patient teachers have been during the shortages, extreme wait times for orders last year, etc., you would think Scholastic would be bending over backwards to be kind to those who held on and were loyal to them.  Shame on you.",,
4,n/a,,
5,Thank you for adding gift cards as one of the teacher incentives!!  I will be able to purchase science trays from Michael's because of this!,,
4,I still have an unresolved issue from Jan 2022. I received a e-gift card and receipt ($35) and cannot find it even with help from 3 different people and multiple calls to Scholastic. Disappointing for me and the parent who purchased it.,,
3,"Many of my searches failed. It would be nice to see more ""I can read"" Level 2.",,
4,I just had trouble last year getting my orders. in a timely manner.,,
4,Would like to see free shipping for teachers again.,,
4,Site is easy to navigate.,,
2,difficulty finding contact phone number,,
3,I don't like to be refered to other website to purchase these books. More security risk that way.,,
3,I am working on iPad and site seems designed for a computer.,,
5,Very user friendly and easy to place order.,,
3,I couldn't buy what I needed without having to purchase a pack of books. I already have 2 of the books from the pack.,,
2,Still waiting for a refund from an order I returned in April.,,
4,"I'm waiting on a kids order, but will be submitting tomorrow.",,
5,I received my order without paperwork so  I had to go to my account to determine who ordered what.  It would be helpful to have the paperwork with the order when I receive the order. Thank you.,,
4,"I will be updating my information, cause I have changed schools.",,
3,So many orders were out of stock- very frustrating,,
4,"Very disappointed how long it took to get books last year, I hope the turn around is much quicker this school year. Kids want their orders quickly and this encourages ordering again.",,
3,I can't find my order that I just placed last week.  I am pretty sure that the wrong books were sent but I can't find the order details to figure it out.,,
3,Easy to use.  I love the book options!,,
5,"I got notification that a student had placed an online order to be confirmed. When I went on my account, there is no order from that student. Should I assume he cancelled it?",,
4,Is there any way to track exactly where my shipment of books is?,,
5,keep up the great work,,
5,I placed an on line order without any problems and am sending in an order by mail too!!,,
3,"One of the books we wanted was limited quantity and I couldn't order it.  I hope they kept it for the kids that would send in their order by paper, since they technically weren't due yet and it was sold out.",,
5,Very easy to search and navigate book options.,,
3,It says I have two accounts but I cannot log into either,,
5,"I love Scholastic Book Club!!!!  So easy to  place orders, find the latest in books, and get great deals!  My students love ordering and I love earning points and free books with every order.  Thank you so much!",,
5,fair price. the deals are nice. will look out for flyers from school in future months.,,
4,It is hard to find books easily. I wanted to see all the books available not just a select few that is grade level.,,
5,Easy to use,,
4,"I couldn’t figure out how to order books as a parent, not a teacher but I called customer service and the representative kindly and quickly helped me figure it out.",,
4,"I feel like the site is less intuitive than in once was.  Today I was looking to set up a beginning of the year letter using formats I have used in the past.  This has always been easy, but I didn't have any luck today as I could only find brief directions for online ordering.",,
3,It was a little confusing  to get  from the order page to flip through a flyer or change levels of flyer.,,
5,great,,
5,I really love the interactive flyer. It made it so easy to select and verify the books my kids had circled. The free book is a great perk too!,,
4,"Love the discounts, love the book sets.  Sometimes hope for more paperbacks of newer books, but I get it.",,
3,It was difficult for me to find where to submit my student flyer orders,,
4,I needed extra support to help navigate your site and Kellie was very helpful in talking me through the explanation. Thank you,,
1,Horrible. I can’t add money for two kids,,
5,I love the book selections.  Thank you for providing a wonderful gift to the children of the world.,,
5,Overall happy with the selection and prices!,,
3,I had to switch from Firefox to Safari. The teacher's code  just did not work well on Firefox.,,
4,"Getting ready to send out flyers, so checking on new stuff for my wishlist.",,
3,took me awhile to find  printable parent letter,,
5,Great selections!,,
5,I am much happier with Scholastic this year.,,
3,"I love this amazing website, it has improved my child's vocabulary and gotten him to love reading. He used to be below average, but now he is above average.",,
4,Thor spent enough money to earn a free five dollar book but I could not figure out how to do it. So Thor did not get his book.,,
3,I would like to know the company's stand on abortion in YT books.  I teach at a Catholic school and have parents concerned and asking for another book company to order from.  I would like to be able to give an answer   Thank you,,
3,need to filter by ar points,,
4,my only request is more cheap books!,,
3,it says that due to order size we earned something or got free books nd I do not know if that is automatic or if I have to go somewhere special to find it. It would be nice if the directions were attached to the notice or if it was clearer if it is attached and I still did not understand.,,
4,The site was a little slow.  I had to wait several minutes before the menus expanded.,,
2,I am disappointed in the selection of $1 books offered these days.,,
5,Very easy to navigate.  Looking forward to getting my son's books!,,
4,"I logged in once and affiliated myself with my son's preschool but then couldn't see a way to affiliate myself specifically with his teacher/class. I logged in again and was already affiliated with the class (I guess I had done that in a past visit to the site) so it was all good, but in my opinion, that process of navigation was not crystal clear.",,
5,It was simple to do.,,
3,"The main challenge is that the flyer aren't so user friendly it would be useful to click on title and be able to see the book (cover/back cover).  We have to toggle between flyer and title to order.  I also wish I could find a way to set my account as a ""club leo"" teacher.  I only get English titles and if I want Spanish (which is what interests me), I have to go through the flyers and print myself.",,
4,some books that were out of stock I didn't know until i put them in the cart.,,
4,I'm only frustrated when Scholastic doesn't offer all of the books I would like to buy.,,
5,Very easy and convenient to find the books my child was looking for. Check out was easy to accomplish.  I could you use my same scholastic login.,,
5,I appreciate the dashboard and the notifications when I first login. Thank you!,,
5,Website is clear and easy to use.,,
5,The site was easy to navigate and the search feature made it simple to find exactly what I was looking for.,,
3,none,,
5,I love how easy the website is to use!,,
5,My school enjoys Scholastic Book Club!,,
4,"Received email that said I had student orders in my cart.  I did not, but submitted my last order over a week ago.",,
3,I added money for one child (now I can't see where her money is) and now I can't figure out how to add money for my other child. This is not as user friendly as I hoped it would be.,,
3,"It is frustrating how many sets there are as opposed to individual books. For example, I wanted to purchase ""when you give a mouse a cookie"" but the only way to purchase it was to but a set of ten books so I did not buy it. Would like to see more language diversity, for example books in French and Spanish offered.",,
5,Reviewed students online orders today that have been turned in online by the families online at home.,,
5,We received the book order form through our schools kindergarten class and placed our order easily on the website.,,
5,I would like more credible authors and titles to select from.,,
3,Hard to find things i need,,
4,"I didn't receive one of the books that was in my class order.  Order # 70304149.  Customer # 79550807.  It was in shipment # 7628295.  The book I didn't receive was Who Was The First Man on Moon, item # 3681.      How do I get this item?    Thanks so much,    Eric Richards",,
4,I would like more chapter book suggestions,,
5,I have not received any flyers for the current school year and was looking for this option.,,
5,Love Scholastic!!!,,
5,Please consider adding a way to search by school and teacher to find the flyers they would have sent out.,,
5,I did not get the $10 rewards for teachers with a $25 order :(,,
4,Simple site to navigate and place orders.,,
3,"I am a teacher (and a parent). I am trying to submit a student order but every time I open the scholastic book clubs page, it automatically opens to my son's page. There is nowhere for me to log out to shop as a teacher.",,
5,"Great site, thank you for having it online for ease of ordering",,
5,easy to order for someone that never did on a computer.,,
3,I have so many e-wallet accounts for my two kids. They have multiple accounts and I wish I can merge them. There is no user friendly way to do so and it confuses me when I want to consolidate their e-wallet and balances.,,
3,There is a lot of information to take in when starting this program. I think a simpler explanation about how the bonus points work would be beneficial to new teacher users. The thing that lead to confusion was that the first time I submitted an order from students in September I got to choose from $10.00 or 5 books reward. The second and third time I sent an order from students in September I got points instead. I also don't know if I should submit the order all at once or as soon as they come to my email.,,
4,"I think it would be good to give an option to schools to not receive the flyers at the beginning of each year.  We only need one of the catalogs and received all of them.  It seems like a waste of paper.  Thanks,",,
5,Everything on the website was easy to navigate. I enjoy browsing the books that are offered.,,
4,"Order Details  ORDER # 69914351 | SUBMITTED ON: 2022-09-06    This order arrived last week, but was missing an item, 36A1, The Unteachables.",,
5,Sorting books by lexile when searching to use points would be helpful.,,
5,Your website is easy to navigate and easy to place orders,,
4,One of the books ordered is out of stock so I need the parent to write a new check.,,
5,Glad to see that Scholastic has speedy service again.,,
5,n/a,,
5,I couldn't find my other child's teacher on the website. She might not have an account set up. I'll have to request that she sets one up so I can order books for him to receive in class too.,,
3,"Overall great experience. I do wish there was a link I could click to see the whole list of my child's teacher's wishlist instead of clicking the horizontal arrow to ""view more""",,
3,hard to navigate and find students,,
5,I like how easy it is for families to order books online. The hard part for me is deciding how to spend my bonus points!,,
5,Want to be sure my card does not cover any of the books unless I put them in.,,
5,"Love how easy it is to place orders once again! Thank you for all the wonderful opps with authors, the Story Monsters magazine, Science handouts and more. I will miss this when I retire  next year.",,
4,I wish there were a digital option for teachers to be able to order monthly flyers on the website instead of calling or emailing the company.,,
5,No difficulties everything runs smoothly.,,
1,I was trying to make a qr code for the October flyer .. But It would not  let me,,
