Overall Rating,Comment,FeedbackCategory,Subcategory
3,"I have been so disappointed with Scholastic over the past 2 years.  Last year I received 2 books that were badly damaged.  Both times I sent an email and I did not receive a response to either of them.  I ended up refunding the money to the students from my own pocket.  I also had a parent who gave me $10 that was sent to Scholastic for my account as a gift.  Although she received notification and her credit card was charged, I never received the money in my account.  After contacting Scholastic 4 different times, I gave up, but have let families know to please not use the gift card feature.",,
5,I will wait to place an order until we have parent orders so they can ship all together.,,
5,Thanks for making it so simple,,
4,"The site works, I just feel the book choices are all very similar and very ""light"". It would be nice to have more not related to pop culture, and additional classics mixed in.",,
4,"The website is really very good, it has improved a lot.  The only thing hard for me is when looking at flyers, I wish the pages could be bigger for easier reading.  Otherwise, the website is very user friendly.",,
4,"Sometimes it is a little clunky with getting things through. For example, as you order, bonus points and rewards go up but you don't know that until you are trying to check out. Then  you have to go back.",,
4,"Hello, I didn't receive one of our books. Could you please assist?",,
1,The order I placed last year still not yet received.  ORDER # 67581273 | SUBMITTED 03/11/2021,,
5,I like the feature that allows me to select things of interest to my child and a collection of books based on those interests make it easy to select books to buy.,,
4,I (and the families in my class) loved the  Ship to Home option last Spring. We would love to see that return.,,
4,I came on to start looking for the free books I get to order!!!,,
5,Cindy was extremely helpful in resolving my issues with my email status.,,
3,Not mobile phone friendly. Has to finish order on my computer.,,
4,"I would like to see more options for dollar books where points can be used. Also, if a parent sends an order in past the deadline and I submitted the order already, I don't think I should have to pay shipping. Just a couple of thoughts...",,
4,Not showing the price right away,,
3,The flyer I received said pick a free book with an online order of $25+ but I was not prompted to choose a free book. Does the teacher gets to choose a free book for the classroom?,,
4,I'm not sure how long I should wait for my orders to arrive?  Last year there were lots of shipping glitches... What's this year looking like?,,
5,"I like the option of online ordering, and parents seem to enjoy it too.   As with many things lately, I noticed the price of books continues to increase. This cost prevents many of my students from being able to order books.",,
5,"I am finding a lot of dark books on here.  I wish you had more selections that were more conservative in nature.  Too much ghosts, monsters, vampires, and such.",,
4,I dislike how many different shops there are and how the shopping cart doesn't fill from all to one cart. On my phone specifically it was very hard to get to where I need to go. I finally understand the many shops looking at it from a desktop and I guess it works. But I left items in a cart that I don't intend to back to.,,
4,"I tried looking for two books via the ""search"" bar but they were not available on this site but were available at Barnes and Noble. This was the only thing stopping me from giving an overall score of 5  this visit. Thank you!",,
3,0000000,,
4,I like being able to order online and still have the fun of my child getting her books in class from her teacher.,,
3,"It was very difficult to find the ""connect to your teacher"" spot.",,
5,I love Scholastic Book orders. I love that they make books more affordable so that I can purchase more for my two bookworms at home.,,
4,"You are forced to give a ""donation"" which makes it not a donation but a fee to use the site. I don't mind donating but I don't like it forced on me.",,
5,Very excited for our books to arrive!,,
3,"Since i am not at school today, i didn't have flyers handy to look at and had not written down books i was interested in for school.  I had to flip back and forth a couple times to check things and it was somewhat annoying trying to find what i wanted and returning to order.  Also, it seems a lot more books are junky, not as many classic or classy books available.  More sets rather than individual books which raise prices for parents already struggling with inflation, possibly eliminating purchases. I don't find I'm able to recommend as many as we used to.",,
5,NA,,
5,The site was very manageable and easy to navigate. I placed my child's order with ease.,,
5,"Couldn't find my son's main teacher, she referred me to a different teacher at the same grade at school. That may be because of the school not imputing the information. Overall I love scholastic and how excited my son gets when he can pick out a book!",,
3,"Somehow I’m entered as the parent, but I’m the grandmother",,
5,"I wasn't on this site for more than 5 minutes before I received this survey. although I did answer yes on purchasing, it didn't happen yet. My suggestion is to give it about 10-15 minutes.     Thank you",,
5,Shipping is fast this year which we appreciate!,,
3,easy to navigate and add items and checkout.,,
2,"Last year you were too slow.  My continued ordering depends on you, five year olds cannot wait two months and get Fall books in the Winter.",,
4,Excited to get our order of new books!,,
4,lost the items in my cart half way though. not a huge deal but certainly an inconvenience.,,
5,super slick and easy to use! We can't wait to get our books!,,
4,"As a first time visitor to the site, I was a bit confused with the layout of the site.  I wasn't confident categories of books that I could click on weren't ads so I spent a good amount of time looking for things that were right in front of me.  Secondly, where do I learn the difference between Firefly and Early Childhood flyers?  I was looking for a place to learn the purpose of the different categories.",,
3,Unable to sign in. When I click sign in a white screen pops up and I am unable to put in my information to sign in.,,
5,Dollar bookstore was much easier to find with hint at top of page!,,
5,I love the features to directly add a book by item number and also that it was easy to find the flyers for their classes.,,
3,I click on the link in the email (your cart) and it says my cart is empty??????,,
3,I'm seeing more and more toys being featured in the leaflets that are coming home from school.  Or trinkets that come with the books. It's becoming a battle to get my child to just choose the books because naturally they levitate toward the toys.  The leaflet should only feature books and contain less distraction with toys and trinkets.,,
4,I buy to support the teachers.,,
5,It is always a joy to order from Scholastic. I remember as a kid being so excited to bring home the flyer - now my own kids are just as excited!,,
4,I am worried about the shipping.,,
2,"I entered card # wrong 1st time & now its not ""submitting"" order",,
4,I couldn't find an item featured on the flier using the search option until I went to Scholastic Book Clubs -- it's a little confusing.,,
3,Couldn't use item # to enter books,,
5,thanks for having great options at great price points,,
5,not sure how to connect to a new teacher for the new school year,,
4,"I wish it were possible to select the format type (e.g., ""interactive board book"") from a book's detail page and go to a filtered page of books of that type. I'm sure I could filter to it from the broader book search page but it would be nice to get there from a book page, too.",,
5,"easy to connect to teachers, even without a code!",,
5,N/A,,
3,"I'd like to offer 2 suggestions for the Book Club.    I am never aware that a parent has placed an order.  I do not receive an email notifying me,  which I think would be helpful.  The only way I know if there's an order is if I log in to my account and check that.    One of my parents sent me an email asking about her daughter's order and why she keeps getting emails from Scholastic about it.  I had no idea the parent had even submitted an order.    Secondly,  I think  Scholastic should set teacher accounts to a ""holding"" position  at the end of each school year. (no parent can place an order).  The teacher, at the start of the school year, or whenever he/she chooses, ""opens"" her account to her class for ordering.   The teacher then can check the account more regularly knowing that parents may be placing orders.    These are some suggestions I think would be helpful.  Thank you.",,
3,I wish once I've submitted payment and completed my order there would have been a pop-up or model that says your order is completed. Felt a little bit unnerving because I wasn't sure if my order actually went through. Maybe I'm just crazy but that's how I felt.,,
2,I can’t order my free $10,,
3,"This site is incredibly difficult to manipulate.  I have problems  finding where to submit bonus point orders as well as the ""$10"" to SPEND RIGHT NOW.",,
4,I changed grade levels and need a place to request paper copies of order forms.  I need them to be sent to me again.,,
5,Encouraging reading is very important,,
4,I had been a teacher in this district so had an account already.   It took awhile for me to figure out how to change my information to parent instead.  There was one point where it wouldn't let me edit but then after a few attempts it worked.,,
4,Finding things can be a bit difficult as the pages are very busy.,,
4,I don't feel like it is as easy to navigate the teacher selections as I would like.  I always have to hunt for the packets that I want to buy for holiday gifts.  I wish there was just an easily formatted teacher page.  Maybe I'm doing it wrong though.,,
3,Love the books offered,,
1,My computer says promotions at the top READS $5 and when put in it says that promo has expired.,,
4,I am hoping that this year is much better with scholastic.  There were so many issues last year that I stopped sending flyers home because it was such a bad experience for my families that did order,,
4,"I switched sites this year and although I did change my profile information, I have not yet received catalogs.",,
3,"I think the books and activity kits are a little pricey but other than that, had a fine experience.",,
4,"On my flyer it says ""Pick a free book up to $5 with and online order of $25"", and my order is $49 and there is no  promo showing up.",,
5,I really like scholastic book clubs!!  It is so nice that teachers are given points and materials in return for the hard work they do.  Sending out the book orders and making order due dates are definitely worth the time taken to do that.,,
5,"This site was quite easy to navigate through, which I very truly appreciated.  For this reason, shopping  was not just convenient, but an actual enjoyable experience.  I look forward to revisiting this site, to purchase more books in the near future.",,
2,I’m very unhappy that I almost ordered a book from The FIRST GRADE flyer that uses they them pronouns!!   Wish I could order books without having to worry about woke nonsense.,,
5,SUPER easy to use! I love the feature at the top where I can just type in the item number. Made the whole thing a breeze!,,
5,very good,,
3,"I am pleased with some things, but disappointed in others.  A few years ago I was able to receive two 10,000 point bonuses in September because I had over $600 worth of orders.  This year I got my students all excited because we also ended up with over $600 worth of orders, but it didn't work that way.  Now I have to tell them that even though we got all those orders, we only got the bonus once, so that will limit our choices for our classroom library this year. Also, the $1 bookstore is pretty much pointless for middle school teachers.  There are hardly any relevant choices anywhere near our students' interest or reading levels. I bought two, and I'm questioning whether the $2 was even worth it for them.",,
3,HARD TO FIND PLACE TO CONNECT TO TEACHER.  ALSO WANTED TO SEND IT TO MY HOUSE BUT COULDN'T FIND AN OPTION FOR THAT.,,
3,Wouldn't let me put granddaughters birth month in.  Couldn't see month of Dec.,,
5,Awesome website,,
3,"I would love to see more Under 5 or $10 items through Scholastic Club. Also, there are not as many Non-fictions Science books hat's being sold. So that it is affordable for many.",,
3,I couldn't find a spot to order the paper copies of the flyers.,,
4,"I tried to do the order on Google Chrome, but the promo code would not work. Once I logged in using the Safari browser, it worked fine.",,
3,"Site is fairly easy to navigate, so all went well!",,
2,I didn't like that I had to make an account when I was originally only looking.  I was unable to enter the number from the flyer only the title.,,
5,SITE WAS EASY TO NAVIGATE,,
2,I have tried twice to sign up and I get to the end. it says go back to site button then it says it doesn't recognize my email. So my account was not made.,,
5,easy to order,,
3,"Not able to change ship to.  Do not want child to know about books.  My valid credit card would not be taken.  Difficulty moving around website, not able to find way to things.",,
5,I had a hard time figuring out how to enter the code for my free book The example is not how you get to the next page.,,
4,I wanted to get a book that would catch my niece's attention and that she would enjoy. It was easy to look for a book. Might order more in the future.,,
4,Can’t see the dollar deals even though my class surpassed the $75 mark.,,
3,Couldn’t click the submit & apply for the free book,,
4,It was not super easy to navigate which was disappointing!,,
1,"I want to order a book for my daughter that is not offered in the selections offered with her class code.  If I look on the scholastic website without the class code, I can find the book.  Why can't I order any book from your site and have it applied to her class code?  And why can't it be delivered to her school?",,
5,Great!,,
3,Wish it was easier/more intuitive to browse for other books my daughter might like.,,
4,Can't find a logout button/area.,,
3,I want to be able to see more books at one time on one page. Like I enter a keyword or grade level and a whole page of 48-72 results come up.,,
5,Jared was very helpful and got the issue taken care of very quickly.,,
4,I was looking for the teacher wishlist but found it difficult to locate and was only able to see one book.,,
4,I found out that a book that a parent ordered from this month's flyer is not available for purchase. I cannot order the books until I speak to the parent.,,
5,It was great!,,
4,"Once you submit an order for the month, if you forget something, I wish you didn't get charged for shipping.",,
5,Great site!,,
4,Adding a teacher/classroom to an existing account is not very intuitive. I would not have known that I even needed to add it if I hadn't gotten a code from the teacher so I had to search around where to put the code in. Other less internet savvy parents may miss getting the code entered.,,
5,Made me do this before I was done kinda weird maybe wait to pop up til we have actually ordered,,
5,The website is great!  We would love it if the first books in each series (Dragon Girls Diary of a Pug) were offered as single units and not just in packs!,,
5,"I am just concerned that the order is expected by 7:00 pm tomorrow, and we are a school.",,
5,I could not find my son's school or teacher at first. But I was able to find his school and one of the teachers associated with the program.,,
4,Thank you.,,
4,When am I able to get the book I order if I order one!,,
3,it needs an easier front page - felt lost when I entered thought I am not a teacher???,,
3,It takes a LONG time for my payment to clear.,,
5,I did the book fairs as a kid and love to read even now as an adult. I think it is awesome that the scholastic book club still remains a thing so I can instill a love for reading in my children!,,
4,"I entered the parent's email addresses, but I could not send the emails.  Also, I was looking for the book, Clifford's Puppy Days Apple-Picking Day and could not find it.  Just gave up and had what has been ordered to date sent to us.",,
5,Love y'all,,
3,"Wish I could somehow indicate which book (already in my shopping cart) that I want to use the READS promo for, instead of needing to search for the book on a separate list.  The first time I used the promo years ago, I ended up accidentally ordering 2 copies of the book because I'd added it to my shopping cart and then looked it up as the free book.",,
3,Grandparent,,
2,I don't have a computer and you are making it hard to buy books for my daughter and you need to not make this the first 2 weeks o of school how can those parents pay for this pay for the pictures and sell candy we are not rich so therefore if you made it more in the school year we could probably do more so please consider that thank you have a nice day,,
4,just looking and adding books to my cart to buy at a different time.,,
3,"Setting up my account, your email field automatically capitalizes the first letter. I tried to edit, but couldn’t reach that field again.",,
5,I even had an order from a former student's Aunt that remembered that I have the book orders available to the families,,
1,How do I order HARD COPIES of flyers? This should be front and center on any flyer page.,,
5,My daughter really enjoys the books from scholastic. She is in 3rd grade and loves to explore different types of books.,,
5,I love Scholastic. I work at a developmental preschool and they were not using book orders so I signed us up and take care of all of the classrooms orders so that parents can order decently priced books and instill the love of reading before school starts.,,
3,It is a bit difficult to navigate this site.  I couldn't find where to fill out the wallet for BOTH kids.  It took me forever and was super frustrating.  There needs to be an easy to find option to fill your children's ewallet for a book fair.,,
3,Can’t tell if took order or not? My PayPal got charged.,,
4,The site is user friendly. Thanks!,,
5,Love this website. Love books! Love the new material each time I visit!,,
2,Site did not alert me to a student order until a month later.,,
5,I would love to see the dollar store open year around and not just when my order qualifies,,
4,Would like to easily see which books are in the pack and what the cost is.  It shouldn't matter who my child's teacher is.,,
3,Said I was eligible for a free book with a 25$ order but no where did I get prompted to order the free book,,
3,I cant easily click  on the choices for searching for the right books for my son!,,
5,VERY easy to use website. Thanks!,,
3,I would really LOVE to be able to see one page of the book to make sure my child would be interested.,,
4,I like to see that there are some $1 books available again.,,
5,I had an order delivered today. Two of a students books had covers that were very bent up. There is nothing so nice as a brand new book. It is a bit sad to have a brand new book that looks like it has already had a tough life.  It seems like it would be an easy fix to stuff boxes with crinkled up paper of some sort to prevent this from happening.,,
4,"I really wish there was a way to look up the books by price. I love to get extra books to have stashed away for random things but it's so difficult to find the ones you have on ""sale"" unless i go flyer by flyer",,
1,"Hello,    I'm very disappointed with the lack of support I received from the Live Chat feature.   I submitted an online order yesterday (9/21) for over $25 and am having the students' books shipped to the school.  Another student brought in a check today for another order.  It was submitted after the due date however, no teacher is going to turn away a student that wants to order books.    The late order was for one item that costs $15.00. I was told that I couldn't add the item to previous order.  I understand that, but I was really disappointed when told that the shipping charge couldn't be waived in this case.       I don't believe the parent should have to pay more, and I certainly don't want to pay out of my pocket.  I would assume that Scholastic would be a little more accommodating, especially  early in the school year.     Thanks for your time,  John Farley",,
5,It was fabulous. I was helped immediately without question. I had very little time and it was so quick! Thank you!,,
5,I am looking forward to getting my families involved in purchasing books!,,
5,"Very easy to use, intuitive.",,
5,"I was concerned that it would be difficult to change my school/contact info, but it was VERY easy!  Thanks!",,
3,Pre k child likes interactive books.  I couldn’t find on the website.,,
3,"The site is terribly difficult to navigate. It changes from my childs class group to a teacher site. I add to my cart, then need to create an account to view it. Then add my childs info. have to REDO it all to check out. Then it asks me to log back in and your cart disappears. Who in their right mind can possibly successfully check out on your site? Why is it purposely made to be confusing? I bet more parents would support these sales if you had a site that was functional. Find help.",,
5,I love how easy the website is to use!,,
5,I appreciate your flexibility and willingness to adapt to the feedback from educators. I know last year was tough but your ability to recognize that and bounce back with changes made has been a truly admirable thing. Thank you!,,
5,"Easy to use, love that teacher's get points for more books and kids get great books in their fingertips at home!",,
4,When the flyer pops up it's a little aggravating to navigate. Cannot zoom in or scroll easily and the page does not fit well on the screen.,,
1,"Please do not even offer filtering categories for books if you do not have the appropriate metadata attributed to each book.  For example, filtering on ""Grade Interest""  ""Kindergarten"" and ""Paperback Book Pack"", there are 141 results in the search.  If I then try to refine my search by Genre there are only 83 potential values listed there.  In other words (141 - 83  58) 58 of these books do not have a Genre attached to them from a metadata perspective and are therefore never displayed to users who choose to utilize Genre as a filter.",,
5,The shipping definitely needs to be quicker.,,
2,I have been waiting almost 1 month since I placed my order to yet receive my child’s books.,,
3,Hard to understand how to order books from the flyer and to know where to place the teachers school code - I eventually found it but it was not obvious.  Perhaps a pop-up alerting people how that process works - ???,,
1,"If you are going to offer for parents to write checks, there needs to be some kind of option for books that are out of stock.  I spent over 20 minutes on the phone last week with Scholastic trying to find an option that did not have me contacting the parent about an out of stock item.  In the past, you have sent another book and a voucher for choosing a different book on their next order.  This should not be more work for teachers.  I have enough to do without contacting parents about out of stock books.  I was very frustrated and put on hold at least 2x so they could tell me that there was nothing they could do.  In the end, I had to contact the parents anyway, as there was nothing she could do, except offer me free shipping.  Thank you, but my order already qualified for free shipping.  Not helpful and a useless ""gift"" for me putting in all the extra time that was necessary for this order.",,
2,"It said there are special offers because of the amount of my student's orders, but the links are unclickable and I'm unable to find how to access those offers ($10 off, etc).",,
3,My child's teacher says they cannot see my order but my order looks like it is submitted and ready on my end.,,
5,Wonderful customer service on the chat!,,
2,Difficult to change class code from last year's class as I want to give this year's teacher credit.,,
5,"Sometimes I get boxes that are missing books, but I always get help and get it ordered right away.",,
5,The site was easy to navigate and I enjoyed looking at the recommendations that came with the book selections.,,
2,I was hoping to find a wider range of books. I ended up placing an order on the main Scholastic site.,,
2,"I tried to place an order over $25 and use the code READS to get a free book. It was advertised all over, on the site, on the flyers and the teacher also gave us the code to use. However, when I tried to apply it, it kept saying it was expired. I did not end up placing an order.",,
5,Is there a search for $2 books?,,
4,"This is my first order this year, if it gets here in a timely fashion I will continue to order. I had to quit last year because I never knew when my order would get here and they never came in a complete manor.",,
5,we love scholastic!,,
2,"some book series don't list all the book pictures or names, so I don't know if I will get duplicated orders.",,
4,"I was reviewing my order.  I will submit order tomorrow, as that is our deadline.",,
5,I am so excited that my babies now get to experience the amazingness that is Scholastic Books! You have a great selection and wonderful prices. Books shouldn't be a luxury item and you are helping to put books in kids' hands. Thank you!,,
4,I am disappointed  that there are no longer the 10 for $10 book packs.,,
5,"I am happy that Scholastic was able to catch up with the demand after the Covid mess, it was very difficult to see kids hopeful faces when their orders were so delayed.",,
5,Very user friendly!,,
5,I can't find my child's teacher,,
5,"I love Scholastic! I make a big deal every year about how easy, inexpensive it is to build your home library with scholastic books!",,
4,"Good pricing, I don't even mind that the books have been made with the absolute minimum cost in mind, the kids love them anyway.  The $2-10 price range allows  children the joy of receiving a book with their friends, and this kind of experience sparks a life long passion for reading!  Thank you Scholastic",,
4,I noticed some price differences in the same books. For instance the book If you give a Mouse a cookie it's $5. In the flyer it is  $2. You can get it for $2 if you can figure out how to click on the flyer. Just seems a bit off.,,
5,I like the site,,
4,We did not have a great experience last year compared to the years before with the receipt of our orders. Hoping the kinks were worked out. I love sending forms home so they can be ordered.,,
5,It went very smoothly and quickly.,,
5,Yahoo!! Our book order came lightning-fast this year! The glitches look like they've been worked out. Kudos!!!,,
1,Can't click on see details becaue content covers,,
4,Having ALOT of difficulty with the new Scholastic Digital Manager site to access my Storyworks3 and Scholastic News3 subscriptions.,,
5,this is our first order and it was so easy to place it and the order goes straight to her teacher which i love.,,
2,"It was confusing while looking for books to know whether I was still connected to the class page, so it would get credit for my purchases. It was NOT until after I had to create a login that I knew I was still connected to the right teacher's site. Also, I don't know why I had to create a login to make a purchase. I won't likely be using the site again.  On a different day, I selected several items, but I couldn't look at the cart to double-check what I'd put in there. As I went from section to section in the catalog, I lost track of which books or games I added to the cart. I gave up and tried again two days later.  The experience that day was so frustrating, I almost said forget about it and not place an order.",,
4,"In the section for selecting books with the additional dollars given for large orders, book titles do not expand once in the selected list. You must re-search the titles to have a title to click on and have the summary and book cover pop up.",,
5,"Why wouldn't it let me put early early childhood at the beginning when it ask the child""s grade..I had to put preschool when he is only two.",,
3,"I get the bundles, but I should be able to purchase the single book if the bundle already has several of the books we already have.",,
4,I could not find a way to find books by reviews. Having that sorting option would have been good to have.,,
3,"I couldn't find out how to use points and get classroom books.  I'll try again in the future.  it  is my first time as director for our preschool, going online to approve orders.   I didn't think it was all that helpful.",,
